t,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,roll_rad,pitch_rad,yaw_rad,alt_m,servo1,servo2,servo3,servo4
8.044,10.000,0.000,0.000,0.550,-0.000031,-0.000590,-0.128780,10.001,594.080,1591,1590,1590,1591
8.106,10.000,0.000,0.000,0.550,0.006448,0.001121,-0.128758,10.001,594.080,1591,1590,1590,1591
8.148,10.000,0.000,0.000,0.550,0.044414,0.004182,-0.128227,10.001,594.080,1620,1615,1574,1575
8.189,10.000,0.000,0.000,0.550,0.080380,0.007345,-0.125760,10.001,594.080,1620,1615,1574,1575
8.230,10.000,0.000,0.000,0.550,0.108687,0.009972,-0.119270,10.004,594.080,1670,1665,1546,1546
8.271,10.000,0.000,0.000,0.550,0.108687,0.009972,-0.119270,10.004,594.080,1670,1665,1546,1546
8.311,10.000,0.000,0.000,0.550,0.129106,0.011364,-0.108225,10.004,594.080,1670,1665,1546,1546
8.353,10.000,0.000,0.000,0.550,0.143751,0.011391,-0.093365,10.011,594.090,1654,1651,1567,1567
8.393,10.000,0.000,0.000,0.550,0.154095,0.010303,-0.076205,10.011,594.090,1654,1651,1567,1567
8.434,10.000,0.000,0.000,0.550,0.161274,0.008463,-0.058301,10.024,594.100,1623,1621,1596,1596
8.475,10.000,0.000,0.000,0.550,0.161274,0.008463,-0.058301,10.024,594.100,1623,1621,1596,1596
8.516,10.000,0.000,0.000,0.550,0.166188,0.006244,-0.041010,10.024,594.100,1623,1621,1596,1596
8.557,10.000,0.000,0.000,0.550,0.169478,0.003977,-0.025250,10.042,594.120,1599,1599,1615,1615
8.598,10.000,0.000,0.000,0.550,0.171686,0.001905,-0.011596,10.042,594.120,1599,1599,1615,1615
8.639,10.000,0.000,0.000,0.550,0.173125,0.000149,-0.000477,10.062,594.140,1587,1586,1622,1622
8.680,10.000,0.000,0.000,0.550,0.173125,0.000149,-0.000477,10.062,594.140,1587,1586,1622,1622
8.720,10.000,0.000,0.000,0.550,0.174026,-0.001329,0.007982,10.062,594.140,1587,1586,1622,1622
8.762,10.000,0.000,0.000,0.550,0.174565,-0.002322,0.014109,10.086,594.160,1583,1583,1621,1622
8.803,10.000,0.000,0.000,0.550,0.174916,-0.002947,0.018080,10.086,594.160,1583,1583,1621,1622
8.845,10.000,0.000,0.000,0.550,0.175019,-0.003271,0.020137,10.111,594.190,1585,1585,1617,1617
8.886,10.000,0.000,0.000,0.550,0.175019,-0.003271,0.020137,10.111,594.190,1585,1585,1617,1617
8.927,10.000,0.000,0.000,0.550,0.175109,-0.003334,0.020590,10.111,594.190,1585,1585,1617,1617
8.968,10.000,0.000,0.000,0.550,0.175155,-0.003202,0.019917,10.137,594.210,1589,1589,1610,1610
9.008,10.000,0.000,0.000,0.550,0.175184,-0.002917,0.018644,10.137,594.210,1589,1589,1610,1610
9.049,10.000,0.000,0.000,0.550,0.175186,-0.002545,0.016785,10.164,594.240,1592,1593,1604,1604
9.090,10.000,0.000,0.000,0.550,0.175186,-0.002545,0.016785,10.164,594.240,1592,1593,1604,1604
9.130,10.000,0.000,0.000,0.550,0.175193,-0.002145,0.014540,10.164,594.240,1592,1593,1604,1604
9.172,10.000,0.000,0.000,0.550,0.175213,-0.001725,0.012238,10.192,594.270,1596,1595,1599,1599
9.213,10.000,0.000,0.000,0.550,0.175064,-0.001331,0.010233,10.192,594.270,1596,1595,1599,1599
9.254,10.000,0.000,0.000,0.550,0.175002,-0.001034,0.008324,10.220,594.300,1597,1597,1596,1596
9.295,10.000,0.000,0.000,0.550,0.175002,-0.001034,0.008324,10.220,594.300,1597,1597,1596,1596
9.336,10.000,0.000,0.000,0.550,0.174929,-0.000662,0.006559,10.220,594.300,1597,1597,1596,1596
9.377,10.000,0.000,0.000,0.550,0.174921,-0.000507,0.005040,10.247,594.320,1598,1598,1595,1595
9.417,10.000,0.000,0.000,0.550,0.174871,-0.000337,0.004017,10.247,594.320,1598,1598,1595,1595
9.458,10.000,0.000,0.000,0.550,0.174860,-0.000184,0.003210,10.274,594.350,1598,1597,1594,1594
9.499,10.000,0.000,0.000,0.550,0.174860,-0.000184,0.003210,10.274,594.350,1598,1597,1594,1594
9.539,10.000,0.000,0.000,0.550,0.174861,-0.000091,0.002544,10.274,594.350,1598,1597,1594,1594
9.580,10.000,0.000,0.000,0.550,0.174876,-0.000023,0.002081,10.301,594.380,1597,1597,1595,1594
9.621,10.000,0.000,0.000,0.550,0.174961,0.000026,0.001961,10.301,594.380,1597,1597,1595,1594
9.661,10.000,0.000,0.000,0.550,0.174961,0.000026,0.001961,10.301,594.380,1597,1597,1595,1594
9.703,10.000,0.000,0.000,0.550,0.174987,-0.000016,0.001892,10.328,594.400,1596,1597,1595,1595
9.744,10.000,0.000,0.000,0.550,0.174953,-0.000069,0.001822,10.328,594.400,1596,1597,1595,1595
9.785,10.000,0.000,0.000,0.550,0.174942,-0.000092,0.001810,10.354,594.430,1596,1596,1596,1596
9.828,10.000,0.000,0.000,0.550,0.174880,-0.000088,0.001966,10.354,594.430,1596,1596,1596,1596
9.868,10.000,0.000,0.000,0.550,0.174880,-0.000088,0.001966,10.354,594.430,1596,1596,1596,1596
9.909,10.000,0.000,0.000,0.550,0.174824,-0.000146,0.002065,10.380,594.460,1596,1596,1596,1596
9.950,10.000,0.000,0.000,0.550,0.174773,-0.000194,0.002097,10.380,594.460,1596,1596,1596,1596
9.991,10.000,0.000,0.000,0.550,0.174744,-0.000239,0.002115,10.405,594.480,1596,1596,1596,1596
